股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
2038, \53cc\9e6d\836f\4e1a, 0L, 0L,0.01, ,35.98,20040909, ,0,2038,2038,0, N,0,0,39.58,0,0,32.38, 684900000L, 567110296L,1,2038,
2039, \9ed4\6e90\7535\529b, 0L, 0L,0.01, ,14.58,20050303, ,0,2039,2039,0, N,0,0,16.04,0,0,13.12, 305398662L, 305365580L,1,2039,
2040, \5357 \4eac \6e2f, 0L, 0L,0.01, ,8.35,20050325, ,0,2040,2040,0, N,0,0,9.19,0,0,7.52, 372282154L, 306748746L,1,2040,
2041, \767b\6d77\79cd\4e1a, 0L, 0L,0.01, ,6.39,20050418, ,0,2041,2041,0, N,0,0,7.03,0,0,5.75, 880000000L, 873861693L,1,2041,
2042, \534e\5b5a\65f6\5c1a, 0L, 0L,0.01, ,6.92,20050427, ,0,2042,2042,0, N,0,0,7.61,0,0,6.23, 1519375555L, 1517715055L,1,2042,
2043, \5154 \5b9d \5b9d, 0L, 0L,0.01, ,7.84,20050510, ,0,2043,2043,0, N,0,0,8.62,0,0,7.06, 830268603L, 693693318L,1,2043,
2044, \7f8e\5e74\5065\5eb7, 0L, 0L,0.01, ,22.39,20050518, ,0,2044,2044,0, N,0,0,24.63,0,0,20.15, 3121566956L, 1316799125L,1,2044,
2045, \56fd\5149\7535\5668, 0L, 0L,0.01, ,6.37,20050523, ,0,2045,2045,0, N,0,0,7.01,0,0,5.73, 468383913L, 415685775L,1,2045,
2046, \8f74\7814\79d1\6280, 0L, 0L,0.01, ,6.91,20050526, ,0,2046,2046,0, N,0,0,7.6,0,0,6.22, 524349078L, 340565970L,1,2046,
2047, \5b9d\9e70\80a1\4efd, 0L, 0L,0.01, ,5.91,20050531, ,0,2047,2047,0, N,0,0,6.5,0,0,5.32, 1341296921L, 1263063110L,1,2047,
2048, \5b81\6ce2\534e\7fd4, 0L, 0L,0.01, ,12.21,20050603, ,0,2048,2048,0, N,0,0,13.43,0,0,10.99, 626227314L, 460550835L,1,2048,
2049, \7d2b\5149\56fd\5fae, 0L, 0L,0.01, ,46.75,20050606, ,0,2049,2049,0, N,0,0,51.43,0,0,42.08, 606817968L, 604599648L,1,2049,
2050, \4e09\82b1\667a\63a7, 0L, 0L,0.01, ,16.31,20050607, ,0,2050,2050,0, N,0,0,17.94,0,0,14.68, 2120316835L, 1772597616L,1,2050,
2051, \4e2d\5de5\56fd\9645, 0L, 0L,0.01, ,15.27,20060619, ,0,2051,2051,0, N,73,0,16.8,0,0,13.74, 1112673216L, 1107894538L,1,2051,
2052, \540c\6d32\7535\5b50, 0L, 0L,0.01, ,4.42,20060627, ,0,2052,2052,0, N,0,0,4.86,0,0,3.98, 745959694L, 745947465L,1,2052,
2053, \4e91\5357\80fd\6295, 0L, 0L,0.01, ,8.38,20060627, ,0,2053,2053,0, N,0,0,9.22,0,0,7.54, 558329336L, 371702206L,1,2053,
2054, \5fb7\7f8e\5316\5de5, 0L, 0L,0.01, ,4.93,20060725, ,0,2054,2054,0, N,0,0,5.42,0,0,4.44, 419230828L, 314811439L,1,2054,
2055, \5f97\6da6\7535\5b50, 0L, 0L,0.01, ,14.17,20060725, ,0,2055,2055,0, N,0,0,15.59,0,0,12.75, 479694096L, 426500843L,1,2055,
2056, \6a2a\5e97\4e1c\78c1, 0L, 0L,0.01, ,7.58,20060802, ,0,2056,2056,0, N,0,0,8.34,0,0,6.82, 1643600000L, 1642566275L,1,2056,
2057, \4e2d\94a2\5929\6e90, 0L, 0L,0.01, ,6.7,20060802, ,0,2057,2057,0, N,0,0,7.37,0,0,6.03, 384784230L, 299072505L,1,2057,
2058, \5a01 \5c14 \6cf0, 0L, 0L,0.01, ,10.7,20060802, ,0,2058,2058,0, N,0,0,11.77,0,0,9.63, 143448332L, 143448332L,1,2058,
2059, \4e91\5357\65c5\6e38, 0L, 0L,0.01, ,7.28,20060810, ,0,2059,2059,0, N,80,0,8.01,0,0,6.55, 730792576L, 730792576L,1,2059,
2060, \7ca4 \6c34 \7535, 0L, 0L,0.01, ,2.86,20060810, ,0,2060,2060,0, N,0,0,3.15,0,0,2.57, 1202262058L, 1201695507L,1,2060,
2061, \6d59\6c5f\4ea4\79d1, 0L, 0L,0.01, ,10.01,20060816, ,0,2061,2061,0, N,0,0,11.01,0,0,9.01, 1305236388L, 559432055L,1,2061,
2062, \5b8f\6da6\5efa\8bbe, 0L, 0L,0.01, ,3.65,20060816, ,0,2062,2062,0, N,0,0,4.02,0,0,3.29, 1102500000L, 951855708L,1,2062,
2063, \8fdc\5149\8f6f\4ef6, 0L, 0L,0.01, ,8.86,20060823, ,0,2063,2063,0, N,0,0,9.75,0,0,7.97, 849820143L, 749151288L,1,2063,
2064, \534e\5cf0\6c28\7eb6, 0L, 0L,0.01, ,3.93,20060823, ,0,2064,2064,0, N,0,0,4.32,0,0,3.54, 1676800000L, 1538690614L,1,2064,
2065, \4e1c\534e\8f6f\4ef6, 0L, 0L,0.01, ,9.16,20060823, ,0,2065,2065,0, N,0,0,10.08,0,0,8.24, 3139787560L, 2765585300L,1,2065,
2066, \745e\6cf0\79d1\6280, 0L, 0L,0.01, ,7.55,20060823, ,0,2066,2066,0, N,0,0,8.31,0,0,6.8, 231000000L, 230999992L,1,2066,
2067, \666f\5174\7eb8\4e1a, 0L, 0L,0.01, ,3.77,20060915, ,0,2067,2067,0, N,0,0,4.15,0,0,3.39, 1128451000L, 960277900L,1,2067,
2068, \9ed1\732b\80a1\4efd, 0L, 0L,0.01, ,8.19,20060915, ,0,2068,2068,0, N,0,0,9.01,0,0,7.37, 727063596L, 606962471L,1,2068,
2069, \7350\5b50\5c9b, 0L, 0L,0.01, ,3.7,20060928, ,0,2069,2069,0, N,0,0,4.07,0,0,3.33, 711112194L, 686746319L,1,2069,
2071, \957f\57ce\5f71\89c6, 0L, 0L,0.01, ,5.58,20061012, ,0,2071,2071,0, N,0,0,6.14,0,0,5.02, 525429878L, 518446727L,1,2071,
2072, \51ef\745e\5fb7, 0L, 0L,0.01, ,8.36,20061018, ,0,2072,2072,0, N,0,0,9.2,0,0,7.52, 176000000L, 176000000L,1,2072,
2073, \8f6f\63a7\80a1\4efd, 0L, 0L,0.01, ,5.9,20061018, ,0,2073,2073,0, N,0,0,6.49,0,0,5.31, 933986674L, 818941400L,1,2073,
2074, \56fd\8f69\9ad8\79d1, 0L, 0L,0.01, ,13.46,20061018, ,0,2074,2074,0, N,0,0,14.81,0,0,12.11, 1136650819L, 1006821591L,1,2074,
2075, \6c99\94a2\80a1\4efd, 0L, 0L,0.01, ,16.12,20061025, ,0,2075,2075,0, N,205,0,17.73,0,0,14.51, 2206771772L, 2206770722L,1,2075,
2076, \96ea \83b1 \7279, 0L, 0L,0.01, ,4.76,20061025, ,0,2076,2076,0, N,0,0,5.24,0,0,4.28, 777902546L, 445837688L,1,2076,
2077, \5927\6e2f\80a1\4efd, 0L, 0L,0.01, ,5.42,20061116, ,0,2077,2077,0, N,0,0,5.96,0,0,4.88, 580348513L, 531715927L,1,2077,
2078, \592a\9633\7eb8\4e1a, 0L, 0L,0.01, ,8.82,20061116, ,0,2078,2078,0, N,0,0,9.7,0,0,7.94, 2592594067L, 2531578142L,1,2078,
2079, \82cf\5dde\56fa\951d, 0L, 0L,0.01, ,6.34,20061116, ,0,2079,2079,0, N,0,0,6.97,0,0,5.71, 727971487L, 725927184L,1,2079,
2080, \4e2d\6750\79d1\6280, 0L, 0L,0.01, ,8.7,20061120, ,0,2080,2080,0, N,0,0,9.57,0,0,7.83, 1290864296L, 640000000L,1,2080,
2081, \91d1 \87b3 \8782, 0L, 0L,0.01, ,10.25,20061120, ,0,2081,2081,0, N,0,0,11.28,0,0,9.23, 2643308689L, 2559279959L,1,2081,
2082, \4e07\90a6\5fb7, 0L, 0L,0.01, ,13.82,20061120, ,0,2082,2082,0, N,0,0,15.2,0,0,12.44, 238000000L, 228182598L,1,2082,
2083, \5b5a\65e5\80a1\4efd, 0L, 0L,0.01, ,5.61,20061124, ,0,2083,2083,0, N,0,0,6.17,0,0,5.05, 908000005L, 866172501L,1,2083,
2084, \6d77\9e25\4f4f\5de5, 0L, 0L,0.01, ,4.55,20061124, ,0,2084,2084,0, N,0,0,5.01,0,0,4.1, 506392628L, 404555776L,1,2084,
2085, \4e07\4e30\5965\5a01, 0L, 0L,0.01, ,8.83,20061128, ,0,2085,2085,0, N,0,0,9.71,0,0,7.95, 2186879678L, 2072981191L,1,2085,
2086, \4e1c\65b9\6d77\6d0b, 0L, 0L,0.01, ,6.68,20061128, ,0,2086,2086,0, N,26,0,7.35,0,0,6.01, 756350000L, 475617200L,1,2086,
2087, \65b0\91ce\7eba\7ec7, 0L, 0L,0.01, ,3.81,20061130, ,0,2087,2087,0, N,0,0,4.19,0,0,3.43, 816794335L, 815644194L,1,2087,
2088, \9c81\9633\8282\80fd, 0L, 0L,0.01, ,14.55,20061130, ,0,2088,2088,0, N,0,0,16.01,0,0,13.1, 361958033L, 208166870L,1,2088,
2089, \65b0 \6d77 \5b9c, 0L, 0L,0.01, ,5.45,20061130, ,0,2089,2089,0, N,0,0,6,0,0,4.91, 1374669616L, 974745486L,1,2089,
2090, \91d1\667a\79d1\6280, 0L, 0L,0.01, ,14.82,20061208, ,0,2090,2090,0, N,0,0,16.3,0,0,13.34, 237802904L, 231467048L,1,2090,
2091, \6c5f\82cf\56fd\6cf0, 0L, 0L,0.01, ,6.27,20061208, ,0,2091,2091,0, N,0,0,6.9,0,0,5.64, 1570774045L, 967666664L,1,2091,
2092, \4e2d\6cf0\5316\5b66, 0L, 0L,0.01, ,9.39,20061208, ,0,2092,2092,0, N,0,0,10.33,0,0,8.45, 2146449598L, 2034384932L,1,2092,
2093, \56fd\8109\79d1\6280, 0L, 0L,0.01, ,7.93,20061215, ,0,2093,2093,0, N,0,0,8.72,0,0,7.14, 1007500000L, 973839980L,1,2093,
2094, \9752\5c9b\91d1\738b, 0L, 0L,0.01, ,9.49,20061215, ,0,2094,2094,0, N,0,0,10.44,0,0,8.54, 692551924L, 598566969L,1,2094,
2095, \751f \610f \5b9d, 0L, 0L,0.01, ,33.35,20061215, ,0,2095,2095,0, N,0,0,36.69,0,0,30.02, 252720000L, 251602512L,1,2095,
2096, \5357\5cad\6c11\7206, 0L, 0L,0.01, ,6.33,20061222, ,0,2096,2096,0, N,0,0,6.96,0,0,5.7, 371287000L, 370852000L,1,2096,
2097, \5c71\6cb3\667a\80fd, 0L, 0L,0.01, ,6.68,20061222, ,0,2097,2097,0, N,0,0,7.35,0,0,6.01, 1056068465L, 601218001L,1,2097,
2098, \6d54\5174\80a1\4efd, 0L, 0L,0.01, ,16.31,20061222, ,0,2098,2098,0, N,170,0,17.94,0,0,14.68, 358000000L, 309996800L,1,2098,
2099, \6d77\7fd4\836f\4e1a, 0L, 0L,0.01, ,5.1,20061226, ,0,2099,2099,0, N,0,0,5.61,0,0,4.59, 1618820253L, 1591744153L,1,2099,
2100, \5929\5eb7\751f\7269, 0L, 0L,0.01, ,6.18,20061226, ,0,2100,2100,0, N,0,0,6.8,0,0,5.56, 963384608L, 709446116L,1,2100,
2101, \5e7f\4e1c\9e3f\56fe, 0L, 0L,0.01, ,8.33,20061229, ,0,2101,2101,0, N,0,0,9.16,0,0,7.5, 532438366L, 425618979L,1,2101,
2102, \51a0\798f\80a1\4efd, 0L, 0L,0.01, ,4.02,20061229, ,0,2102,2102,0, N,36,0,4.42,0,0,3.62, 2633836290L, 1991531787L,1,2102,
2103, \5e7f\535a\80a1\4efd, 0L, 0L,0.01, ,5.23,20070110, ,0,2103,2103,0, N,0,0,5.75,0,0,4.71, 545623431L, 374318205L,1,2103,
2104, \6052\5b9d\80a1\4efd, 0L, 0L,0.01, ,6.96,20070110, ,0,2104,2104,0, N,0,0,7.66,0,0,6.26, 712028800L, 602220931L,1,2104,
2105, \4fe1\9686\5065\5eb7, 0L, 0L,0.01, ,4.29,20070112, ,0,2105,2105,0, N,0,0,4.72,0,0,3.86, 368500000L, 368500000L,1,2105,
2106, \83b1\5b9d\9ad8\79d1, 0L, 0L,0.01, ,5.77,20070112, ,0,2106,2106,0, N,0,0,6.35,0,0,5.19, 705816160L, 703550254L,1,2106,
2107, \6c83\534e\533b\836f, 0L, 0L,0.01, ,9.09,20070124, ,0,2107,2107,0, N,0,0,10,0,0,8.18, 360756000L, 349228003L,1,2107,
2108, \6ca7\5dde\660e\73e0, 0L, 0L,0.01, ,5.69,20070124, ,0,2108,2108,0, N,0,0,6.26,0,0,5.12, 1417924199L, 1417924199L,1,2108,
2109, \5174\5316\80a1\4efd, 0L, 0L,0.01, ,3.72,20070126, ,0,2109,2109,0, N,0,0,4.09,0,0,3.35, 1052944789L, 544988434L,1,2109,
2110, \4e09\94a2\95fd\5149, 0L, 0L,0.01, ,18.62,20070126, ,0,2110,2110,0, N,0,0,20.48,0,0,16.76, 1634384159L, 990619800L,1,2110,
2111, \5a01\6d77\5e7f\6cf0, 0L, 0L,0.01, ,10.98,20070126, ,0,2111,2111,0, N,0,0,12.08,0,0,9.88, 381827504L, 327234897L,1,2111,
2112, \4e09\53d8\79d1\6280, 0L, 0L,0.01, ,8.86,20070208, ,0,2112,2112,0, N,0,0,9.75,0,0,7.97, 201600000L, 182652413L,1,2112,
2113, \5929\6da6\6570\5a31, 0L, 0L,0.01, ,5.78,20070208, ,0,2113,2113,0, N,113,0,6.36,0,0,5.2, 1532692930L, 804928396L,1,2113,
2114, \7f57\5e73\950c\7535, 0L, 0L,0.01, ,8.45,20070215, ,0,2114,2114,0, N,0,0,9.3,0,0,7.61, 323395267L, 323377492L,1,2114,
2115, \4e09\7ef4\901a\4fe1, 0L, 0L,0.01, ,8.98,20070215, ,0,2115,2115,0, N,0,0,9.88,0,0,8.08, 553925798L, 344904797L,1,2115,
2116, \4e2d\56fd\6d77\8bda, 0L, 0L,0.01, ,7.63,20070215, ,0,2116,2116,0, N,0,0,8.39,0,0,6.87, 417628938L, 415641719L,1,2116,
2117, \4e1c\6e2f\80a1\4efd, 0L, 0L,0.01, ,14.42,20070302, ,0,2117,2117,0, N,0,0,15.86,0,0,12.98, 363777614L, 363670890L,1,2117,
2118, \7d2b\946b\836f\4e1a, 0L, 0L,0.01, ,6.29,20070302, ,0,2118,2118,0, N,0,0,6.92,0,0,5.66, 1280759826L, 1025431814L,1,2118,
2119, \5eb7\5f3a\7535\5b50, 0L, 0L,0.01, ,11.54,20070302, ,0,2119,2119,0, N,0,0,12.69,0,0,10.39, 288680000L, 282695000L,1,2119,
2120, \97f5\8fbe\80a1\4efd, 0L, 0L,0.01, ,49.9,20070306, ,0,2120,2120,0, N,0,0,54.89,0,0,44.91, 1317553116L, 139374269L,1,2120,
2121, \79d1\9646\7535\5b50, 0L, 0L,0.01, ,6.49,20070306, ,0,2121,2121,0, N,31,0,7.14,0,0,5.84, 1408163573L, 808033548L,1,2121,
2122, *ST\5929\9a6c, 0L, 0L,0.01, ,1.59,20070328, ,0,2122,2122,0, N,0,0,1.67,0,0,1.51, 1188000000L, 1184250650L,1,2122,
2123, \68a6\7f51\96c6\56e2, 0L, 0L,0.01, ,8.56,20070328, ,0,2123,2123,0, N,0,0,9.42,0,0,7.7, 810606519L, 547101053L,1,2123,
2124, \5929\90a6\80a1\4efd, 0L, 0L,0.01, ,4.17,20070403, ,0,2124,2124,0, N,0,0,4.59,0,0,3.75, 1159628098L, 790518474L,1,2124,
2125, \6e58\6f6d\7535\5316, 0L, 0L,0.01, ,8.11,20070403, ,0,2125,2125,0, N,0,0,8.92,0,0,7.3, 345599985L, 258950385L,1,2125,
2126, \94f6\8f6e\80a1\4efd, 0L, 0L,0.01, ,9.26,20070418, ,0,2126,2126,0, N,0,0,10.19,0,0,8.33, 801081664L, 766354693L,1,2126,
2127, \5357\6781\7535\5546, 0L, 0L,0.01, ,8.82,20070418, ,0,2127,2127,0, N,0,0,9.7,0,0,7.94, 2454870403L, 1451263134L,1,2127,
2128, \9732\5929\7164\4e1a, 0L, 0L,0.01, ,8.18,20070418, ,0,2128,2128,0, N,0,0,9,0,0,7.36, 1634378473L, 1634374311L,1,2128,
2129, \4e2d\73af\80a1\4efd, 0L, 0L,0.01, ,8.68,20070420, ,0,2129,2129,0, N,0,0,9.55,0,0,7.81, 2644236466L, 2644236466L,1,2129,
2130, \6c83\5c14\6838\6750, 0L, 0L,0.01, ,4.12,20070420, ,0,2130,2130,0, N,0,0,4.53,0,0,3.71, 1262319062L, 946768967L,1,2130,
2131, \5229\6b27\80a1\4efd, 0L, 0L,0.01, ,2.05,20070427, ,0,2131,2131,0, N,0,0,2.26,0,0,1.85, 5558517247L, 3385010992L,1,2131,
2132, \6052\661f\79d1\6280, 0L, 0L,0.01, ,3.36,20070427, ,0,2132,2132,0, N,0,0,3.7,0,0,3.02, 1256498403L, 1253730102L,1,2132,
2133, \5e7f\5b87\96c6\56e2, 0L, 0L,0.01, ,4.23,20070427, ,0,2133,2133,0, N,0,0,4.65,0,0,3.81, 774144175L, 634749068L,1,2133,
2134, \5929\6d25\666e\6797, 0L, 0L,0.01, ,7.71,20070516, ,0,2134,2134,0, N,0,0,8.48,0,0,6.94, 245849768L, 245849768L,1,2134,
2135, \4e1c\5357\7f51\67b6, 0L, 0L,0.01, ,5.02,20070530, ,0,2135,2135,0, N,0,0,5.52,0,0,4.52, 1034402200L, 670689783L,1,2135,
2136, \5b89 \7eb3 \8fbe, 0L, 0L,0.01, ,9.24,20070530, ,0,2136,2136,0, N,0,0,10.16,0,0,8.32, 215020000L, 213700560L,1,2136,
2137, \9ea6\8fbe\6570\5b57, 0L, 0L,0.01, ,9.07,20070613, ,0,2137,2137,0, N,0,0,9.98,0,0,8.16, 579224599L, 284800535L,1,2137,
2138, \987a\7edc\7535\5b50, 0L, 0L,0.01, ,18.07,20070613, ,0,2138,2138,0, N,0,0,19.88,0,0,16.26, 816615354L, 642254190L,1,2138,
2139, \62d3\90a6\80a1\4efd, 0L, 0L,0.01, ,5.73,20070629, ,0,2139,2139,0, N,0,0,6.3,0,0,5.16, 1019790717L, 783934068L,1,2139,
2140, \4e1c\534e\79d1\6280, 0L, 0L,0.01, ,7.19,20070712, ,0,2140,2140,0, N,0,0,7.91,0,0,6.47, 446034534L, 439626642L,1,2140,
2141, \8d24\4e30\63a7\80a1, 0L, 0L,0.01, ,3.97,20070720, ,0,2141,2141,0, N,0,0,4.37,0,0,3.57, 1134656519L, 636608000L,1,2141,
2142, \5b81\6ce2\94f6\884c, 0L, 0L,0.01, ,16.64,20070719, ,0,2142,2142,0, N,0,0,18.3,0,0,14.98, 5069739917L, 4491408726L,1,2142,
2143, \5370\7eaa\4f20\5a92, 0L, 0L,0.01, ,5.3,20070720, ,0,2143,2143,0, N,0,0,5.83,0,0,4.77, 1769834184L, 969424404L,1,2143,
2144, \5b8f\8fbe\9ad8\79d1, 0L, 0L,0.01, ,11.14,20070803, ,0,2144,2144,0, N,0,0,12.25,0,0,10.03, 176762528L, 137121365L,1,2144,
2145, \4e2d\6838\949b\767d, 0L, 0L,0.01, ,3.76,20070803, ,0,2145,2145,0, N,0,0,4.14,0,0,3.38, 1591245576L, 1094329649L,1,2145,
2146, \8363\76db\53d1\5c55, 0L, 0L,0.01, ,7.71,20070808, ,0,2146,2146,0, N,0,0,8.48,0,0,6.94, 4348163851L, 3892432053L,1,2146,
2147, \65b0\5149\5706\6210, 0L, 0L,0.01, ,14.76,20070808, ,0,2147,2147,0, N,122,0,16.24,0,0,13.28, 1828076415L, 536984343L,1,2147,
2148, \5317\7eac\79d1\6280, 0L, 0L,0.01, ,6,20070810, ,0,2148,2148,0, N,0,0,6.6,0,0,5.4, 567351127L, 443302646L,1,2148,
2149, \897f\90e8\6750\6599, 0L, 0L,0.01, ,6.96,20070810, ,0,2149,2149,0, N,0,0,7.66,0,0,6.26, 425414274L, 425384274L,1,2149,
2150, \901a\6da6\88c5\5907, 0L, 0L,0.01, ,6.69,20070810, ,0,2150,2150,0, N,0,0,7.36,0,0,6.02, 274243887L, 274243887L,1,2150,
2151, \5317\6597\661f\901a, 0L, 0L,0.01, ,26.35,20070813, ,0,2151,2151,0, N,0,0,28.99,0,0,23.72, 513240215L, 254533889L,1,2151,
2152, \5e7f\7535\8fd0\901a, 0L, 0L,0.01, ,5.73,20070813, ,0,2152,2152,0, N,0,0,6.3,0,0,5.16, 2428885725L, 1971903832L,1,2152,
2153, \77f3\57fa\4fe1\606f, 0L, 0L,0.01, ,33,20070813, ,0,2153,2153,0, N,0,0,36.3,0,0,29.7, 1066788753L, 484456043L,1,2153,
2154, \62a5 \559c \9e1f, 0L, 0L,0.01, ,3.52,20070816, ,0,2154,2154,0, N,0,0,3.87,0,0,3.17, 1263285008L, 1103674696L,1,2154,
2155, \6e56\5357\9ec4\91d1, 0L, 0L,0.01, ,6.74,20070816, ,0,2155,2155,0, N,0,0,7.41,0,0,6.07, 1202039474L, 1201927655L,1,2155,
2156, \901a\5bcc\5fae\7535, 0L, 0L,0.01, ,11.28,20070816, ,0,2156,2156,0, N,0,0,12.41,0,0,10.15, 1153704572L, 972429849L,1,2156,
2157, \6b63\90a6\79d1\6280, 0L, 0L,0.01, ,3.7,20070817, ,0,2157,2157,0, N,0,0,4.07,0,0,3.33, 2330824773L, 2140761432L,1,2157,
2158, \6c49\949f\7cbe\673a, 0L, 0L,0.01, ,8.85,20070817, ,0,2158,2158,0, N,0,0,9.74,0,0,7.97, 530381122L, 530381122L,1,2158,
2159, \4e09\7279\7d22\9053, 0L, 0L,0.01, ,20.92,20070817, ,0,2159,2159,0, N,0,0,23.01,0,0,18.83, 138666666L, 138549311L,1,2159,
2160, \5e38\94dd\80a1\4efd, 0L, 0L,0.01, ,4.41,20070821, ,0,2160,2160,0, N,0,0,4.85,0,0,3.97, 724269941L, 602045033L,1,2160,
2161, \8fdc \671b \8c37, 0L, 0L,0.01, ,8.54,20070821, ,0,2161,2161,0, N,0,0,9.39,0,0,7.69, 739757400L, 698372452L,1,2161,
2162, \60a6\5fc3\5065\5eb7, 0L, 0L,0.01, ,3.03,20070823, ,0,2162,2162,0, N,0,0,3.33,0,0,2.73, 855550000L, 852150000L,1,2162,
2163, \4e2d\822a\4e09\946b, 0L, 0L,0.01, ,5.61,20070823, ,0,2163,2163,0, N,0,0,6.17,0,0,5.05, 803550000L, 803371126L,1,2163,
2164, \5b81\6ce2\4e1c\529b, 0L, 0L,0.01, ,4.74,20070823, ,0,2164,2164,0, N,0,0,5.21,0,0,4.27, 699347282L, 409249700L,1,2164,
2165, \7ea2 \5b9d \4e3d, 0L, 0L,0.01, ,4.2,20070913, ,0,2165,2165,0, N,0,0,4.62,0,0,3.78, 602058110L, 527370747L,1,2165,
2166, \83b1\8335\751f\7269, 0L, 0L,0.01, ,7.77,20070913, ,0,2166,2166,0, N,0,0,8.55,0,0,6.99, 437281362L, 353859746L,1,2166,
2167, \4e1c\65b9\9506\4e1a, 0L, 0L,0.01, ,6.16,20070913, ,0,2167,2167,0, N,0,0,6.78,0,0,5.54, 620946000L, 488509632L,1,2167,
2168, \6df1\5733\60e0\7a0b, 0L, 0L,0.01, ,11.18,20070919, ,0,2168,2168,0, N,0,0,12.3,0,0,10.06, 820589768L, 784217268L,1,2168,
2169, \667a\5149\7535\6c14, 0L, 0L,0.01, ,4.44,20070919, ,0,2169,2169,0, N,0,0,4.88,0,0,4, 787791994L, 659324502L,1,2169,
2170, \82ad\7530\80a1\4efd, 0L, 0L,0.01, ,3.26,20070919, ,0,2170,2170,0, N,0,0,3.59,0,0,2.93, 890047497L, 670204746L,1,2170,
2171, \695a\6c5f\65b0\6750, 0L, 0L,0.01, ,6.78,20070921, ,0,2171,2171,0, N,31,0,7.46,0,0,6.1, 1069208056L, 1027507329L,1,2171,
2172, \6fb3\6d0b\79d1\6280, 0L, 0L,0.01, ,4.56,20070921, ,0,2172,2172,0, N,0,0,5.02,0,0,4.1, 776481362L, 693180630L,1,2172,
2173, \521b\65b0\533b\7597, 0L, 0L,0.01, ,11.31,20070925, ,0,2173,2173,0, N,0,0,12.44,0,0,10.18, 454856365L, 202684375L,1,2173,
2174, \6e38\65cf\7f51\7edc, 0L, 0L,0.01, ,18.99,20070925, ,0,2174,2174,0, N,0,0,20.89,0,0,17.09, 888467873L, 576924455L,1,2174,
2175, \4e1c\65b9\7f51\7edc, 0L, 0L,0.01, ,4.02,20071012, ,0,2175,2175,0, N,0,0,4.42,0,0,3.62, 753778212L, 529466244L,1,2175,
2176, \6c5f\7279\7535\673a, 0L, 0L,0.01, ,9.67,20071012, ,0,2176,2176,0, N,0,0,10.64,0,0,8.7, 1469182112L, 1442454645L,1,2176,
2177, \5fa1\94f6\80a1\4efd, 0L, 0L,0.01, ,3.66,20071101, ,0,2177,2177,0, N,0,0,4.03,0,0,3.29, 761191294L, 644519374L,1,2177,
2178, \5ef6\534e\667a\80fd, 0L, 0L,0.01, ,4.74,20071101, ,0,2178,2178,0, N,0,0,5.21,0,0,4.27, 712153001L, 658030067L,1,2178,
2179, \4e2d\822a\5149\7535, 0L, 0L,0.01, ,43.05,20071101, ,0,2179,2179,0, N,0,0,47.36,0,0,38.75, 790940909L, 782471491L,1,2179,
2180, \7eb3\601d\8fbe, 0L, 0L,0.01, ,31.45,20071113, ,0,2180,2180,0, N,0,0,34.6,0,0,28.31, 1063587938L, 685775292L,1,2180,
2181, \7ca4 \4f20 \5a92, 0L, 0L,0.01, ,4.12,20071116, ,0,2181,2181,0, N,0,0,4.53,0,0,3.71, 1161058174L, 1134316386L,1,2181,
2182, \4e91\6d77\91d1\5c5e, 0L, 0L,0.01, ,6.2,20071113, ,0,2182,2182,0, N,0,0,6.82,0,0,5.58, 646422538L, 449753993L,1,2182,
2183, \6021 \4e9a \901a, 0L, 0L,0.01, ,6.07,20071113, ,0,2183,2183,0, N,0,0,6.68,0,0,5.46, 2122697819L, 2120384181L,1,2183,
2184, \6d77\5f97\63a7\5236, 0L, 0L,0.01, ,12.06,20071116, ,0,2184,2184,0, N,0,0,13.27,0,0,10.85, 241404649L, 135867230L,1,2184,
2185, \534e\5929\79d1\6280, 0L, 0L,0.01, ,5.94,20071120, ,0,2185,2185,0, N,0,0,6.53,0,0,5.35, 2131112944L, 2130438916L,1,2185,
2186, \5168 \805a \5fb7, 0L, 0L,0.01, ,14.21,20071120, ,0,2186,2186,0, N,0,0,15.63,0,0,12.79, 308463955L, 305959182L,1,2186,
2187, \5e7f\767e\80a1\4efd, 0L, 0L,0.01, ,8.2,20071122, ,0,2187,2187,0, N,0,0,9.02,0,0,7.38, 342422568L, 342422568L,1,2187,
2188, *ST\5df4\58eb, 0L, 0L,0.01, ,3.37,20071122, ,0,2188,2188,0, N,0,0,3.54,0,0,3.2, 295627524L, 183930241L,1,2188,
2189, \5229\8fbe\5149\7535, 0L, 0L,0.01, ,13.39,20071203, ,0,2189,2189,0, N,0,0,14.73,0,0,12.05, 199240000L, 198704075L,1,2189,
2190, \6210\98de\96c6\6210, 0L, 0L,0.01, ,19.04,20071203, ,0,2190,2190,0, N,0,0,20.94,0,0,17.14, 358729343L, 345188382L,1,2190,
2191, \52b2\5609\80a1\4efd, 0L, 0L,0.01, ,7.41,20071205, ,0,2191,2191,0, N,0,0,8.15,0,0,6.67, 1494834382L, 1302913575L,1,2191,
