股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
42, \4e2d\6d32\63a7\80a1, 0L, 0L,0.01, ,15.79,19940921, ,0,42,42,0, N,0,0,17.37,0,0,14.21, 664831139L, 487996480L,1,42,
43, \4e2d\822a\5584\8fbe, 0L, 0L,0.01, ,7.22,19940928, ,0,43,43,0, N,0,0,7.94,0,0,6.5, 666961416L, 666807166L,1,43,
45, \6df1\7eba\7ec7\ff21, 0L, 0L,0.01, ,6.88,19940815, ,0,45,45,0, N,0,0,7.57,0,0,6.19, 511274149L, 506449849L,1,45,
46, \6cdb\6d77\63a7\80a1, 0L, 0L,0.01, ,6.6,19940912, ,0,46,46,0, N,0,0,7.26,0,0,5.94, 5196200656L, 5095133984L,1,46,
48, *ST\5eb7\8fbe, 0L, 0L,0.01, ,17.6,19941101, ,0,48,48,0, N,0,0,18.48,0,0,16.72, 390768671L, 385392267L,1,48,
49, \5fb7\8d5b\7535\6c60, 0L, 0L,0.01, ,29.14,19950320, ,0,49,49,0, N,0,0,32.05,0,0,26.23, 205243738L, 205243738L,1,49,
50, \6df1\5929\9a6c\ff21, 0L, 0L,0.01, ,14.38,19950315, ,0,50,50,0, N,0,0,15.82,0,0,12.94, 2048123051L, 1401014244L,1,50,
55, \65b9\5927\96c6\56e2, 0L, 0L,0.01, ,4.94,19960415, ,0,55,55,0, N,0,0,5.43,0,0,4.45, 1183642254L, 1182225012L,1,55,
56, \7687\5ead\56fd\9645, 0L, 0L,0.01, ,10.29,19960708, ,0,56,56,0, N,0,0,11.32,0,0,9.26, 1175345368L, 529345806L,1,56,
58, \6df1 \8d5b \683c, 0L, 0L,0.01, ,5.01,19961226, ,0,58,58,0, N,0,0,5.51,0,0,4.51, 1235656249L, 784609071L,1,58,
59, \534e\9526\80a1\4efd, 0L, 0L,0.01, ,6.95,19970130, ,0,59,59,0, N,0,0,7.65,0,0,6.26, 1599442537L, 1599439081L,1,59,
60, \4e2d\91d1\5cad\5357, 0L, 0L,0.01, ,4.52,19970123, ,0,60,60,0, N,0,0,4.97,0,0,4.07, 3569685327L, 3568221707L,1,60,
61, \519c \4ea7 \54c1, 0L, 0L,0.01, ,5.17,19970110, ,0,61,61,0, N,0,0,5.69,0,0,4.65, 1696964131L, 1695337218L,1,61,
62, \6df1\5733\534e\5f3a, 0L, 0L,0.01, ,20.7,19970130, ,0,62,62,0, N,0,0,22.77,0,0,18.63, 721316774L, 666949797L,1,62,
63, \4e2d\5174\901a\8baf, 0L, 0L,0.01, ,16.52,19971118, ,0,63,63,0, N,0,0,18.17,0,0,14.87, 4192671843L, 4189487133L,1,63,
65, \5317\65b9\56fd\9645, 0L, 0L,0.01, ,8.11,19980605, ,0,65,65,0, N,0,0,8.92,0,0,7.3, 769505410L, 628943607L,1,65,
66, \4e2d\56fd\957f\57ce, 0L, 0L,0.01, ,7.41,19970626, ,0,66,66,0, N,0,0,8.15,0,0,6.67, 2944069459L, 2491027809L,1,66,
68, \534e\63a7\8d5b\683c, 0L, 0L,0.01, ,2.92,19970611, ,0,68,68,0, N,0,0,3.21,0,0,2.63, 1006671464L, 1006670564L,1,68,
69, \534e\4fa8\57ce\ff21, 0L, 0L,0.01, ,6.39,19970910, ,0,69,69,0, N,0,0,7.03,0,0,5.75, 8204081415L, 6147269697L,1,69,
70, \7279\53d1\4fe1\606f, 0L, 0L,0.01, ,8.01,20000511, ,0,70,70,0, N,0,0,8.81,0,0,7.21, 626994746L, 541836990L,1,70,
78, \6d77\738b\751f\7269, 0L, 0L,0.01, ,4.3,19981218, ,0,78,78,0, N,0,0,4.73,0,0,3.87, 2646613257L, 1856654687L,1,78,
88, \76d0 \7530 \6e2f, 0L, 0L,0.01, ,5.63,19970728, ,0,88,88,0, N,0,0,6.19,0,0,5.07, 1942200000L, 1942200000L,1,88,
