当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g
8.72,590549,516873106,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:57,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8103, 12685, 12553, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 475, 3234, 1489, 1540, 2363"
8.72,590585,516904497,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:00,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8092, 12683, 12553, 9379, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 440, 3234, 1489, 1540, 2363"
8.71,590612,516928021,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:03,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8072, 12683, 12569, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 444, 3234, 1489, 1540, 2363"
8.71,590634,516947188,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:06,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8056, 12683, 12567, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 439, 3234, 1489, 1540, 2363"
8.71,590635,516948059,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:09,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8065, 12693, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 439, 3234, 1489, 1540, 2363"
8.71,590655,516965493,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:12,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8059, 12703, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 425, 3234, 1489, 1540, 2363"
8.71,590657,516967235,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:15,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8182, 12713, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 425, 3234, 1489, 1540, 2363"
8.71,590977,517245955,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:18,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7862, 12703, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 425, 3234, 1489, 1540, 2363"
8.71,590997,517263383,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:21,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7850, 14064, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 417, 3234, 1489, 1540, 2363"
8.71,591009,517273845,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:24,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7915, 14064, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 407, 3234, 1489, 1540, 2363"
8.71,591025,517287781,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:27,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7899, 13858, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 407, 3234, 1489, 1540, 2363"
8.71,591127,517376640,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:30,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7829, 13848, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 390, 3183, 1489, 1540, 2363"
8.71,591143,517390586,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:33,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7843, 13868, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 382, 3183, 1439, 1540, 2363"
8.72,591163,517408026,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:36,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7843, 13868, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 363, 3183, 1439, 1540, 2363"
8.71,591164,517408897,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:39,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7842, 13868, 12587, 9392, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 363, 3183, 1439, 1540, 2363"
8.72,591166,517410641,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:42,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7842, 13868, 12587, 9392, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 361, 3183, 1439, 1540, 2363"
8.72,591557,517751593,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 609, 7842, 13863, 12603, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1540, 2363, 2605"
8.72,591560,517754209,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 606, 7835, 13873, 12603, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1570, 2363, 2605"
8.72,591561,517755081,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 608, 7835, 13873, 12603, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1570, 2363, 2605"
8.72,591563,517756825,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 613, 7835, 13893, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1570, 2363, 2605"
8.72,591597,517786477,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 585, 7835, 13893, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3219, 1439, 1570, 2363, 2605"
8.73,591605,517793460,0,0,0,6.72,8.85,8.9, 2018-07-16 14:10:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 594, 7843, 13900, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3212, 1439, 1570, 2363, 2605"
8.72,591624,517810412,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 574, 7843, 13900, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3212, 1439, 1570, 2363, 2605"
8.72,591626,517812156,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 572, 7793, 13900, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3212, 1439, 1570, 2363, 2605"
8.72,591643,517826982,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 557, 7953, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3210, 1439, 1570, 2363, 2605"
8.72,591726,517899358,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 474, 7953, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605"
8.72,591728,517901102,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 472, 7953, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605"
8.72,592049,518181014,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 171, 7971, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605"
8.72,592088,518215022,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 142, 7971, 13890, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605"
8.72,592091,518217639,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 142, 7971, 13892, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3180, 1439, 1570, 2363, 2605"
8.72,592118,518241183,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 233, 7971, 13902, 12631, 9358"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3180, 1439, 1570, 2363, 2605"
8.71,593171,519158682,0,0,0,6.7,8.85,8.9, 2018-07-16 14:10:30,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7110, 13902, 12631, 9358, 4424"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 9, 3152, 1439, 1570, 2363"
8.71,593258,519234487,0,0,0,6.7,8.85,8.9, 2018-07-16 14:10:33,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7060, 13902, 12631, 9388, 4424"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3150, 1439, 1570, 2363, 2605"
8.73,593261,519237102,0,0,0,6.72,8.85,8.9, 2018-07-16 14:10:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 61, 7058, 13902, 12631, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3160, 1439, 1570, 2363, 2605"
8.72,593297,519268499,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:39,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 30, 7121, 13903, 12631, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3155, 1439, 1570, 2363, 2605"
8.72,593297,519268499,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:42,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 40, 7131, 13903, 12602, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3159, 1439, 1570, 2363, 2605"
8.72,593340,519305998,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:45,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7131, 13891, 12607, 9388, 4424"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 218, 3158, 1439, 1434, 2363"
8.72,593559,519496966,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2, 7131, 13891, 12607, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3151, 1439, 1434, 2363, 2605"
8.72,593564,519501327,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:51,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7186, 13891, 12607, 9395, 4424"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 13, 3157, 1439, 1414, 2363"
8.72,593579,519514407,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 68, 7271, 13891, 12607, 9395"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3140, 1439, 1414, 2363, 2605"
8.72,593579,519514407,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 140, 7273, 13896, 12607, 9393"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3147, 1439, 1398, 2363, 2605"
8.73,593587,519521390,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 255, 7273, 13896, 12607, 9393"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3141, 2439, 1398, 2363, 2605"
8.72,593611,519542322,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2245, 7273, 13896, 12607, 9393"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3137, 2429, 1398, 2501, 2605"
8.72,593611,519542322,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2245, 7277, 13898, 12607, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3137, 2429, 1398, 2501, 2605"
8.73,593722,519639224,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2244, 7242, 13878, 12597, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3027, 2429, 1398, 2501, 2605"
8.72,593837,519739504,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2151, 7246, 13888, 12597, 9378"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3027, 2429, 1398, 2501, 2605"
8.73,594178,520036875,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1829, 7246, 13738, 12587, 9378"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3008, 2429, 1398, 2501, 2605"
8.73,594185,520042986,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1829, 7354, 13751, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3001, 2429, 1398, 2462, 2605"
8.72,594186,520043858,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1833, 7684, 13751, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3002, 2429, 1398, 2462, 2605"
8.72,594203,520058697,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1851, 7704, 13771, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2988, 2429, 1398, 2462, 2605"
8.73,594214,520068300,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2255, 7704, 13771, 12587, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2977, 2329, 1398, 2462, 2605"
8.72,594232,520083996,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:30,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2240, 7705, 13768, 12576, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2977, 2329, 1398, 2462, 2605"
8.73,594365,520199999,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:33,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2158, 7715, 13768, 12576, 9391"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2950, 2329, 1398, 2462, 2632"
8.72,594367,520201743,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2182, 7715, 13777, 12576, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2951, 2329, 1498, 2462, 2632"
8.72,594372,520206103,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:39,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2179, 7698, 13777, 12581, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2951, 2329, 1498, 2462, 2632"
8.72,594372,520206103,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:42,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2267, 7468, 13776, 12581, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2951, 2329, 1498, 2462, 2632"
8.73,594404,520234037,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2377, 7488, 13836, 12571, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2921, 2368, 1498, 2462, 2632"
8.72,594419,520247118,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2377, 7508, 13921, 12571, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2920, 2368, 1498, 2462, 2632"
8.72,594440,520265430,0,0,0,6.71,8.85,8.9, 2018-07-16 14:11:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2553, 7662, 13921, 12571, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2920, 2368, 1498, 2462, 2632"
8.73,594455,520278513,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2781, 7672, 13921, 12526, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2917, 2368, 1498, 2462, 2632"
8.73,594467,520288989,0,0,0,6.72,8.85,8.9, 2018-07-16 14:11:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2785, 7672, 13921, 12526, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 2905, 2368, 1498, 2462, 2632"
